x_turning,y_turning,angle_turning
-10.0,4.0,77.0
-9.836018,3.218035,-262.0
-9.395535,0.1127118,-250.0
-7.775239,-3.525591,-220.0001
-4.504819,-6.148052,-190.0001
-0.3211765,-6.835383,-160.0001
3.965135,-5.998558,-166.0001
8.16116,-4.556056,-136.0001
11.58348,-1.737419,-136.0001
15.01738,1.186183,-147.9248
18.69369,3.857305,-158.595
22.87119,5.501754,202.1033337029071
25.127204987594727,6.173336733247888,191.05166685145355
27.47012,6.4,180.0
