x_turning,y_turning,angle_turning
-8.0,-1.0,-262.0
-7.867117,-2.550626,-256.0
-7.18201,-4.894499,-232.0
-7.897978,-4.373526,-208.0
-7.163758,-4.540941,-184.0001
-4.783043,-4.531354,-166.0001
-1.717628,-4.132822,-172.0001
1.680348,-4.011549,-196.0
5.020584,-4.909936,-214.0
8.094101,-6.643375,-226.0
10.97815,-8.763315,-202.0
14.246,-10.19809,-196.0
17.69641,-11.25202,-207.947
21.11192,-12.46022,173.8820862899578
24.286483805002213,-12.714994440034552,176.9410431449789
27.47012,-12.8,180.0
