TimeStep,X,Z,angle
0,-1,3,-171.3577
1,-0.9679699,3.004868,-241
2,-0.9391432,3.00925,-241
3,-0.9131994,3.013193,-241
4,-0.9132004,3.013193,-238
5,-0.8888979,2.974304,-235
6,-0.840127,2.902152,-232
7,-0.7668724,2.801933,-229
8,-0.6692724,2.678447,-226
9,-0.5475988,2.536122,-223
10,-0.4022541,2.379052,-220
11,-0.2337561,2.211011,-217
12,-0.04273605,2.03548,-214
13,0.1700754,1.855667,-211
14,0.4038553,1.67452,-208
15,0.6576967,1.494748,-205
16,0.9306173,1.318834,-202
17,1.221564,1.149048,-199
18,1.529425,0.9874554,-196
19,1.853034,0.8359342,-193
20,2.191177,0.6961813,-190
21,2.542602,0.5697223,-187
22,2.906018,0.4579214,-184
23,3.280114,0.3619882,-181
24,3.663549,0.282986,-178
25,4.054971,0.2218384,-175
26,4.453011,0.1793367,-172
27,4.8563,0.1561451,-169.0001
28,5.263464,0.1528074,-166.0001
29,5.673131,0.1697519,-163.0001
30,6.083937,0.2072974,-160.0001
31,6.494528,0.2656578,-157.0001
32,6.903568,0.3449472,-154.0001
33,7.309736,0.4451839,-151.0001
34,7.711735,0.5662953,-148.0001
35,8.108292,0.708122,-145.0001
36,8.498161,0.8704216,-142.0001
37,8.880131,1.052874,-139.0001
38,9.253019,1.255082,-136.0001
39,9.615688,1.47658,-133.0001
40,9.967028,1.716831,-136.0001
41,10.31235,1.969508,-139.0001
42,10.65585,2.229331,-142.0001
43,11.0008,2.491848,-139.0001
44,11.34438,2.759997,-136.0001
45,11.68407,3.036013,-133.0001
46,12.01764,3.321541,-130.0001
47,12.34306,3.617746,-127.0001
48,12.6585,3.925385,-124.0001
49,12.9623,4.244881,-121.0001
50,13.25297,4.576382,-118.0001
51,13.52916,4.919796,-115.0001
52,13.78965,5.274844,-118.0001
53,14.04119,5.637576,-121.0001
54,14.28922,6.004604,-124.0001
55,14.53805,6.372961,-121.0001
56,14.784,6.744808,-118.0001
57,15.02391,7.121696,-115.0001
58,15.25505,7.504667,-118.0001
59,15.48289,7.890788,-121.0001
60,15.71181,8.277455,-124.0001
61,15.94528,8.662326,-127.0001
62,16.18598,9.043265,-130.0001
63,16.43598,9.418323,-132.9992
64,16.6968,9.785701,-130.0042
65,16.96331,10.14966,-127.0142
66,17.23118,10.51355,-124.0278
67,17.49672,10.87988,-127.0068
68,17.76385,11.2458,-129.9737
69,18.03562,11.60876,-132.9245
70,18.31438,11.96651,-129.9935
71,18.59574,12.32279,-127.0849
72,18.87602,12.68048,-124.1988
73,19.15205,13.04177,-127.0595
74,19.42795,13.40365,-129.8924
75,19.70693,13.7635,-132.6963
76,19.99147,14.11905,-135.4689
77,20.28339,14.46829,-138.2092
78,20.58404,14.80946,-140.917
79,20.89433,15.14102,-143.594
80,21.21481,15.46162,-146.2432
81,21.54577,15.77007,-148.8684
82,21.88728,16.06534,-146.2623
83,22.23545,16.35295,-143.6702
84,22.58699,16.63735,-141.0864
85,22.93908,16.92209,-143.661
86,23.2939,17.20421,-146.2233
87,23.6531,17.48119,-148.7696
88,24.01783,17.75089,-151.2973
89,24.3889,18.01147,-153.8051
90,24.76681,18.26138,-156.2928
91,25.15178,18.49928,-158.7617
92,25.54383,18.72403,-161.2139
93,25.94286,18.93468,-163.6523
94,26.17779,19.07616,-166.0805
95,26.26826,19.15323,-168.5021
