TimeStep,X,Z,angle
0,-10,4,-171.5021
1,-9.923024,4.011501,77
2,-9.853746,4.021852,77
3,-9.791396,4.031168,77
4,-9.791397,4.031168,80
5,-9.799362,3.986009,82.99999
6,-9.811396,3.899758,85.99999
7,-9.824018,3.776268,88.99998
8,-9.834118,3.619195,-268
9,-9.83893,3.432014,-265
10,-9.836018,3.218035,-262
11,-9.82324,2.980411,-259
12,-9.798738,2.722151,-256
13,-9.76091,2.446126,-259
14,-9.71633,2.153,-262
15,-9.670193,1.843724,-265
16,-9.626694,1.519472,-262
17,-9.580952,1.182265,-259
18,-9.529116,0.8340963,-256
19,-9.468119,0.4769326,-253
20,-9.395535,0.1127118,-250
21,-9.309446,-0.2566665,-247
22,-9.208361,-0.629347,-244
23,-9.091127,-1.003525,-241
24,-8.9569,-1.377452,-238
25,-8.805082,-1.749439,-235.0001
26,-8.635303,-2.117858,-232.0001
27,-8.447374,-2.481146,-229.0001
28,-8.241278,-2.837807,-226.0001
29,-8.017145,-3.18641,-223.0001
30,-7.775239,-3.525591,-220.0001
31,-7.515934,-3.854057,-217.0001
32,-7.239707,-4.170578,-214.0001
33,-6.947134,-4.473998,-211.0001
34,-6.638864,-4.763224,-208.0001
35,-6.315631,-5.037233,-205.0001
36,-5.978229,-5.295074,-202.0001
37,-5.627513,-5.535859,-199.0001
38,-5.264395,-5.758772,-196.0001
39,-4.88983,-5.963064,-193.0001
40,-4.504819,-6.148052,-190.0001
41,-4.110398,-6.313128,-187.0001
42,-3.70764,-6.457746,-184.0001
43,-3.297639,-6.581431,-181.0001
44,-2.88152,-6.683775,-178.0001
45,-2.460424,-6.764439,-175.0001
46,-2.03551,-6.82315,-172.0001
47,-1.607947,-6.859705,-169.0001
48,-1.178915,-6.873964,-166.0001
49,-0.7495975,-6.865859,-163.0001
50,-0.3211765,-6.835383,-160.0001
51,0.1051636,-6.782598,-157.0001
52,0.5282469,-6.707627,-160.0001
53,0.9504023,-6.618492,-163.0001
54,1.373375,-6.521795,-166.0001
55,1.798378,-6.422993,-169.0001
56,2.226163,-6.3266,-172.0001
57,2.657084,-6.236369,-175.0001
58,3.091175,-6.15541,-172.0001
59,3.527518,-6.077756,-169.0001
60,3.965135,-5.998558,-166.0001
61,4.402974,-5.913888,-163.0001
62,4.839924,-5.82059,-160.0001
63,5.274828,-5.716149,-157.0001
64,5.706493,-5.598587,-154.0001
65,6.133713,-5.466378,-151.0001
66,6.555272,-5.31838,-148.0001
67,6.969969,-5.153776,-145.0001
68,7.376617,-4.972024,-142.0001
69,7.774057,-4.772819,-139.0001
70,8.16116,-4.556056,-136.0001
71,8.536835,-4.32181,-133.0002
72,8.90003,-4.070298,-130.0002
73,9.249739,-3.801872,-133.0002
74,9.591677,-3.522405,-136.0001
75,9.93041,-3.236819,-139.0001
76,10.26952,-2.949296,-136.0001
77,10.60613,-2.656953,-133.0002
78,10.9377,-2.357605,-130.0002
79,11.26195,-2.049649,-133.0002
80,11.58348,-1.737419,-136.0001
81,11.90592,-1.424632,-139.0001
82,12.23205,-1.114499,-142.0001
83,12.56396,-0.8098226,-145.0002
84,12.90318,-0.5130583,-147.9998
85,13.25075,-0.2263677,-145.0038
86,13.60283,0.05567143,-142.0125
87,13.95613,0.337379,-139.0249
88,14.30774,0.6221475,-142.0051
89,14.66072,0.9061685,-144.973
90,15.01738,1.186183,-147.9248
91,15.37939,1.459397,-144.993
92,15.74352,1.730554,-142.0834
93,16.10694,2.003397,-139.1965
94,16.46716,2.280831,-142.058
95,16.8274,2.558885,-144.8914
96,17.19007,2.834204,-147.6957
97,17.55698,3.10394,-150.4689
98,17.9294,3.365679,-153.2095
99,18.30814,3.617376,-155.9176
100,18.69369,3.857305,-158.595
101,19.08626,4.084009,-161.2443
102,19.48579,4.296271,-163.8697
103,19.89211,4.493066,-166.4759
104,20.30485,4.673542,-169.0681
105,20.72355,4.836987,-171.6519
106,21.14769,4.982802,-169.0708
107,21.57568,5.117816,-166.4867
108,22.00611,5.247615,-163.894
109,22.43768,5.376748,-166.4938
110,22.87119,5.501754,-169.0959
111,23.3071,5.619751,-171.6954
112,23.74564,5.728339,-174.2881
113,24.18676,5.825525,-176.8716
114,24.63027,5.909676,-179.4449
115,25.0758,5.979454,-182.0086
116,25.5229,6.033774,-184.5642
117,25.97102,6.071771,-187.1143
118,26.24133,6.110804,-184.5664
119,26.35234,6.141377,-182.0169
